paid_up_capital,incorporation_date,company_name_hyperlink,company_name,common_directors_percent,city,Sharanubasavaya Hiremath,Rajiv Mehta Nitinbhai,Rajesh Kamtaprasad Singh,Kashyap Shankaranarayan Sarangapanibhatiruvail,Jayas Damodaran,Gaurav Bhalotia
14875617.00,2014-03-25,/company/master_profile/X9GJFXV7Q-iNsMgU3zH16umgJB05sWMoiX8NiWy-tLs=/,Jiyo Natural Private Limited,100.0,Bangalore,Director,Director (past),Wholetime Director (past),Additional Director (past),Managing Director,Additional Director
2500000.00,2012-01-23,/company/master_profile/nYG-XUhtw8WZahiC7XsCVemgJB05sWMoiX8NiWy-tLs=/,ARIVEGURU TECHNOLOGY SOLUTIONS PRIVATE LIMITED,66.66666666666666,Bangalore,Director,,,Director,,
500000.00,2019-01-28,/company/master_profile/Z4_wsxVhnlek-DHjRj5OcemgJB05sWMoiX8NiWy-tLs=/,FRESHOT ROBOTICS PRIVATE LIMITED,33.33333333333333,Bangalore,Director,,,,,
100000.00,1996-08-16,/company/master_profile/LsTw4yaogRWnCkgZUbwIr_mgJB05sWMoiX8NiWy-tLs=/,UNICORN CONTRACTORS AND DEVELOPERS PRIVATE LIMITED,25.0,Mumbai,,Director,,,,
200000000.00,2017-09-11,/company/master_profile/BpXHa5worNxK-knrTp5XTemgJB05sWMoiX8NiWy-tLs=/,Kan Dfy Sports Private Limited,25.0,Mumbai,,Director,,,,
100000.00,2018-09-29,/company/master_profile/G6HaZ5ryxPksPrOSedgeuemgJB05sWMoiX8NiWy-tLs=/,MILLIONEYES HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,50.0,Bangalore,,,,,,Director
247167370.00,1999-06-28,/company/master_profile/gvA_kxPbeNx8K7tUFQ6XremgJB05sWMoiX8NiWy-tLs=/,Stove Kraft Private Limited,6.25,Kanakapura,,Director,,,,
100000.00,2017-12-01,/company/master_profile/u-kWJ_exfmkhlIpDtkZCBumgJB05sWMoiX8NiWy-tLs=/,APPODEEPO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,50.0,Bangalore,,,Director,,,
0.00,2014-10-21,/company/master_profile/vsvmFrurjLOtmZNBcx5fHumgJB05sWMoiX8NiWy-tLs=/,KANAV TECHNOLOGY CONSULTANTS LLP,50.0,Bangalore,,,,,,Designated Partner
1104850000.00,2005-09-23,/company/master_profile/Yrva5wngizHSLcAZCGqiJemgJB05sWMoiX8NiWy-tLs=/,Puma Sports India Private Limited,16.666666666666664,Bangalore,,Managing Director (past),,,,
234717456.00,2016-01-05,/company/master_profile/lDQjd1pPyGREqvXQzGAJGemgJB05sWMoiX8NiWy-tLs=/,Arvind Fashions Limited,4.761904761904762,RoC-Ahmedabad,,Director (past),,,,
804090.00,2016-02-03,/company/master_profile/eN-UM2yxI06m_ZmCooNoVemgJB05sWMoiX8NiWy-tLs=/,Arvind Premium Retail Limited,14.285714285714285,RoC-Ahmedabad,,Director (past),,,,
14867194.00,2007-05-10,/company/master_profile/rhlA47vfpGxYWkrwp4mZfemgJB05sWMoiX8NiWy-tLs=/,FOURSEVEN SERVICES PRIVATE LIMITED,25.0,New Delhi,,Director (past),,,,
1000000.00,2015-02-02,/company/master_profile/8PGVx3Tq5iB5PlQupBjGwumgJB05sWMoiX8NiWy-tLs=/,Arvind Fashion Brands Limited,12.5,RoC-Ahmedabad,,Director (past),,,,
9500000.00,2016-07-22,/company/master_profile/Z9TyXvFShh6-MgGze_-A8_mgJB05sWMoiX8NiWy-tLs=/,Arvind Ruf & Tuf Private Limited,25.0,RoC-Ahmedabad,,Director (past),,,,
1000000.00,2015-02-02,/company/master_profile/qoRVMAwoo36851LjVvWHvOmgJB05sWMoiX8NiWy-tLs=/,ARVIND SPORTS LIFESTYLE LIMITED,11.11111111111111,RoC-Ahmedabad,,Director (past),,,,
500000.00,2015-06-08,/company/master_profile/JfM3BHjVioQxEzKoYecf5_mgJB05sWMoiX8NiWy-tLs=/,VIACHAT INDIA PRIVATE LIMITED,33.33333333333333,Bangalore,Director (past),,,,,
160114290.00,2015-11-24,/company/master_profile/WiVMT3WplLi-Q_5ctEsyiOmgJB05sWMoiX8NiWy-tLs=/,Arvind True Blue Limited,14.285714285714285,RoC-Ahmedabad,,Director (past),,,,
14875617.00,2014-03-25,/company/master_profile/X9GJFXV7Q-iNsMgU3zH16umgJB05sWMoiX8NiWy-tLs=/,Jiyo Natural Private Limited,100.0,Bangalore,Director,Director (past),Wholetime Director (past),Additional Director (past),Managing Director,Additional Director
2500000.00,2012-01-23,/company/master_profile/nYG-XUhtw8WZahiC7XsCVemgJB05sWMoiX8NiWy-tLs=/,ARIVEGURU TECHNOLOGY SOLUTIONS PRIVATE LIMITED,66.66666666666666,Bangalore,Director,,,Director,,
500000.00,2019-01-28,/company/master_profile/Z4_wsxVhnlek-DHjRj5OcemgJB05sWMoiX8NiWy-tLs=/,FRESHOT ROBOTICS PRIVATE LIMITED,33.33333333333333,Bangalore,Director,,,,,
100000.00,1996-08-16,/company/master_profile/LsTw4yaogRWnCkgZUbwIr_mgJB05sWMoiX8NiWy-tLs=/,UNICORN CONTRACTORS AND DEVELOPERS PRIVATE LIMITED,25.0,Mumbai,,Director,,,,
200000000.00,2017-09-11,/company/master_profile/BpXHa5worNxK-knrTp5XTemgJB05sWMoiX8NiWy-tLs=/,Kan Dfy Sports Private Limited,25.0,Mumbai,,Director,,,,
100000.00,2018-09-29,/company/master_profile/G6HaZ5ryxPksPrOSedgeuemgJB05sWMoiX8NiWy-tLs=/,MILLIONEYES HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,50.0,Bangalore,,,,,,Director
247167370.00,1999-06-28,/company/master_profile/gvA_kxPbeNx8K7tUFQ6XremgJB05sWMoiX8NiWy-tLs=/,Stove Kraft Private Limited,6.25,Kanakapura,,Director,,,,
100000.00,2017-12-01,/company/master_profile/u-kWJ_exfmkhlIpDtkZCBumgJB05sWMoiX8NiWy-tLs=/,APPODEEPO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,50.0,Bangalore,,,Director,,,
0.00,2014-10-21,/company/master_profile/vsvmFrurjLOtmZNBcx5fHumgJB05sWMoiX8NiWy-tLs=/,KANAV TECHNOLOGY CONSULTANTS LLP,50.0,Bangalore,,,,,,Designated Partner
1104850000.00,2005-09-23,/company/master_profile/Yrva5wngizHSLcAZCGqiJemgJB05sWMoiX8NiWy-tLs=/,Puma Sports India Private Limited,16.666666666666664,Bangalore,,Managing Director (past),,,,
234717456.00,2016-01-05,/company/master_profile/lDQjd1pPyGREqvXQzGAJGemgJB05sWMoiX8NiWy-tLs=/,Arvind Fashions Limited,4.761904761904762,RoC-Ahmedabad,,Director (past),,,,
804090.00,2016-02-03,/company/master_profile/eN-UM2yxI06m_ZmCooNoVemgJB05sWMoiX8NiWy-tLs=/,Arvind Premium Retail Limited,14.285714285714285,RoC-Ahmedabad,,Director (past),,,,
14867194.00,2007-05-10,/company/master_profile/rhlA47vfpGxYWkrwp4mZfemgJB05sWMoiX8NiWy-tLs=/,FOURSEVEN SERVICES PRIVATE LIMITED,25.0,New Delhi,,Director (past),,,,
1000000.00,2015-02-02,/company/master_profile/8PGVx3Tq5iB5PlQupBjGwumgJB05sWMoiX8NiWy-tLs=/,Arvind Fashion Brands Limited,12.5,RoC-Ahmedabad,,Director (past),,,,
9500000.00,2016-07-22,/company/master_profile/Z9TyXvFShh6-MgGze_-A8_mgJB05sWMoiX8NiWy-tLs=/,Arvind Ruf & Tuf Private Limited,25.0,RoC-Ahmedabad,,Director (past),,,,
1000000.00,2015-02-02,/company/master_profile/qoRVMAwoo36851LjVvWHvOmgJB05sWMoiX8NiWy-tLs=/,ARVIND SPORTS LIFESTYLE LIMITED,11.11111111111111,RoC-Ahmedabad,,Director (past),,,,
500000.00,2015-06-08,/company/master_profile/JfM3BHjVioQxEzKoYecf5_mgJB05sWMoiX8NiWy-tLs=/,VIACHAT INDIA PRIVATE LIMITED,33.33333333333333,Bangalore,Director (past),,,,,
160114290.00,2015-11-24,/company/master_profile/WiVMT3WplLi-Q_5ctEsyiOmgJB05sWMoiX8NiWy-tLs=/,Arvind True Blue Limited,14.285714285714285,RoC-Ahmedabad,,Director (past),,,,
